gem_id,light_source,wavelength,intensity,feature,feature_group,point_type,snr,analysis_date,normalization_scheme,reference_wavelength,symmetry_ratio,width_nm,prominence,category,file_source,import_timestamp
214BP3_halogen_structural,Halogen,671.08,98.56,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,654.755,1.061,560.46,,,214BP3_halogen_structural_20250822_094028.csv,2025-09-25 14:19:42
214BP4_halogen_structural,Halogen,671.94,99.4,Mound_Summary,Mound,Summary,,2025-08-22,Halogen_650nm_50000_to_100,654.954,0.979,565.65,,,214BP4_halogen_structural_20250822_093730.csv,2025-09-25 14:19:42
224BC3_halogen_structural,Halogen,744.86,75.19,Trough_End,Trough,End,,2025-08-22,Halogen_650nm_50000_to_100,654.954,,,,,224BC3_halogen_structural_20250822_120456.csv,2025-09-25 14:19:42
224BC4_halogen_structural,Halogen,744.56,74.0,Trough_End,Trough,End,,2025-08-22,Halogen_650nm_50000_to_100,654.954,,,,,224BC4_halogen_structural_20250822_120931.csv,2025-09-25 14:19:42
224BC5_halogen_structural,Halogen,744.45,71.45,Trough_End,Trough,End,,2025-08-22,Halogen_650nm_50000_to_100,654.755,,,,,224BC5_halogen_structural_20250822_121221.csv,2025-09-25 14:19:42
224BP3_halogen_structural,Halogen,745.18,72.28,Trough_End,Trough,End,,2025-08-22,Halogen_650nm_50000_to_100,654.755,,,,,224BP3_halogen_structural_20250822_121458.csv,2025-09-25 14:19:42
224BP4_halogen_structural,Halogen,744.05,69.43,Trough_End,Trough,End,,2025-08-22,Halogen_650nm_50000_to_100,654.954,,,,,224BP4_halogen_structural_20250822_121704.csv,2025-09-25 14:19:42
51BC1_halogen_structural,Halogen,635.56,99.79,Mound_Summary,Mound,Summary,,2025-09-12,Halogen_650nm_50000_to_100,645.612,0.77,601.17,,,51BC1_halogen_structural_20250912_073815.csv,2025-09-25 14:19:42
51UC1_uv_structural_auto,UV,922.523,0.275,Peak_31,UV_Auto_Detection,Peak,,2025-09-11,UV_811nm_15000_to_100_FIXED,811.0,,,0.209,Major,51UC1_uv_structural_auto_20250911_144623.csv,2025-09-30 05:52:52
51UP1_uv_structural_auto,UV,851.529,0.528,Peak_28,UV_Auto_Detection,Peak,,2025-09-21,UV_811nm_15000_to_100_UPDATED,811.0,,,0.423,Major,51UP1_uv_structural_auto_20250921_211536.csv,2025-09-30 05:52:52
52BP1_halogen_structural,Halogen,634.69,99.79,Mound_Summary,Mound,Summary,,2025-09-21,Halogen_650nm_50000_to_100,645.414,0.811,597.7,,,52BP1_halogen_structural_20250921_210500.csv,2025-09-25 14:19:42
60LC1_laser_structural,Laser,694.06,99.56,Peak_Max,Peak,Max,,2025-09-21,Laser_Max_50000_to_100,694.09,,,,,60LC1_laser_structural_20250921_210812.csv,2025-09-25 14:19:42
92BC1_halogen_structural,Halogen,694.29,121.66,Mound_Summary,Mound,Summary,,2025-09-01,Halogen_650nm_50000_to_100,649.983,0.995,270.09,,,92BC1_halogen_structural_20250901_151541.csv,2025-09-25 14:19:42
